Objective,ScenarioID,Description,Algorithm,Cost,TTC_Min,TET,TIT,Max_Jerk,ObjectiveValue
ISE,S10,Down Mass-,KMA,930863.1308844008,19.100404595810257,0.0,0.0,151.56529993359445,395815.0612821016
ISE,S10,Down Mass-,GA,930863.1308844008,18.872146654602375,0.0,0.0,147.32129333828274,395435.7616717904
ISE,S10,Down Mass-,HOA,930863.1308844008,19.094022450416364,0.0,0.0,151.56529993367752,395809.9104578978
ISE,S10,Down Mass-,PSO,930863.1308844008,19.100404595810282,0.0,0.0,151.56529993367752,395815.0604259601
ISE,S10,Down Mass-,SKA,930863.1308844008,19.100404595810282,0.0,0.0,151.56529993367752,395815.06132627843
ISE,S11,Down Res+,KMA,930863.1308844008,18.968669203113762,0.0,0.0,161.96318258478567,410230.8246668302
ISE,S11,Down Res+,GA,930863.1308844008,18.744289813151,0.0,0.0,163.22763772133723,409855.9079786749
ISE,S11,Down Res+,HOA,930863.1308844008,18.956195672015145,0.0,0.0,161.9631825847624,410225.85977803834
ISE,S11,Down Res+,PSO,930863.1308844008,18.968669203113812,0.0,0.0,161.9631825847624,410230.82384113915
ISE,S11,Down Res+,SKA,930863.1308844008,18.968669203113812,0.0,0.0,161.9631825847624,410230.8247094372
ITSE,S0,Normal,KMA,930863.1308844008,18.37589508751234,0.0,0.0,114.17389658260029,2869000.4233369087
ITSE,S0,Normal,GA,930863.1308844008,18.376363948316182,0.0,0.0,114.45686839730789,2879642.550893434
ITSE,S0,Normal,HOA,930863.1308844008,18.311152761450458,0.0,0.0,114.17389658260029,2869227.1041542976
ITSE,S0,Normal,PSO,930863.1308844008,18.37589508751234,0.0,0.0,114.17389658260029,2869000.4233365664
ITSE,S0,Normal,SKA,930863.1308844008,18.37589508751234,0.0,0.0,114.17389658260035,2869000.4233368086
ITSE,S1,Mass+10%,KMA,930863.1308844008,18.197662219439987,0.0,0.0,90.25417727852724,3009651.8630516804
ITSE,S1,Mass+10%,GA,930863.1308844008,18.198157199257494,0.0,0.0,79.73433791455389,3021346.2823908594
ITSE,S1,Mass+10%,HOA,930863.1308844008,18.145318111593863,0.0,0.0,103.76740693080788,3009996.1802367303
ITSE,S1,Mass+10%,PSO,930863.1308844008,18.197662219439987,0.0,0.0,90.25539757874478,3009651.86166968
ITSE,S1,Mass+10%,SKA,930863.1308844008,18.197662219439987,0.0,0.0,90.25540700102125,3009651.8616585936
ITSE,S2,Mass-10%,KMA,930863.1308844008,18.52386729849095,0.0,0.0,139.0369835483931,2737860.896844947
ITSE,S2,Mass-10%,GA,930863.1308844008,18.542306699332116,0.0,0.0,138.32958117101285,2747483.404739431
ITSE,S2,Mass-10%,HOA,930863.1308844008,18.503860078050142,0.0,0.0,139.0369835483931,2737962.076839411
ITSE,S2,Mass-10%,PSO,930863.1308844008,18.523870025043575,0.0,0.0,139.0369835483931,2737860.899356353
ITSE,S2,Mass-10%,SKA,930863.1308844008,18.523870046096224,0.0,0.0,139.03698354839304,2737860.8993754396
ITSE,S3,Res+20%,KMA,930863.1308844008,18.29617111843075,0.0,0.0,103.05846556087425,2938305.416270753
ITSE,S3,Res+20%,GA,930863.1308844008,18.296704274418634,0.0,0.0,103.36641905693575,2950778.419597458
ITSE,S3,Res+20%,HOA,930863.1308844008,18.237803828505296,0.0,0.0,116.09574877924896,2938657.178731863
ITSE,S3,Res+20%,PSO,930863.1308844008,18.29617111843075,0.0,0.0,103.05846556087425,2938305.4150349484
ITSE,S3,Res+20%,SKA,930863.1308844008,18.29617111843075,0.0,0.0,103.05846556087431,2938305.4150256733
ITSE,S4,Up Normal,KMA,930863.1308844008,17.509259888433036,0.0,0.0,87.47544179491966,4722693.463386748
ITSE,S4,Up Normal,GA,930863.1308844008,17.51057834652989,0.0,0.0,59.116736601705234,4766623.991620507
ITSE,S4,Up Normal,HOA,930863.1308844008,17.48131400670416,0.0,0.0,65.52167571440711,4724812.82015125
ITSE,S4,Up Normal,PSO,930863.1308844008,17.509259888433036,0.0,0.0,87.47393077662039,4722693.437254113
ITSE,S4,Up Normal,SKA,930863.1308844008,17.509259888433036,0.0,0.0,87.47391910926831,4722693.437052142
ITSE,S5,Up Mass+,KMA,930863.1308844008,17.473592513593175,0.0,0.0,80.38754955548173,5744562.679642182
ITSE,S5,Up Mass+,GA,930863.1308844008,17.475011966120675,0.0,0.0,56.63395354943975,5794599.262921455
ITSE,S5,Up Mass+,HOA,930863.1308844008,17.461257981753782,0.0,0.0,64.42520335275987,5746961.304995945
ITSE,S5,Up Mass+,PSO,930863.1308844008,17.473592513593175,0.0,0.0,80.38629719021506,5744562.649833802
ITSE,S5,Up Mass+,SKA,930863.1308844008,17.473592513593175,0.0,0.0,80.38628752013206,5744562.649603831
ITSE,S6,Up Mass-,KMA,930863.1308844008,17.6886058438202,0.0,0.0,105.85650933919341,4032805.5382349826
ITSE,S6,Up Mass-,GA,930863.1308844008,17.721674224805845,0.0,0.0,80.29444356590149,4071032.8876738264
ITSE,S6,Up Mass-,HOA,930863.1308844008,17.649061115400407,0.0,0.0,130.58066302098817,4034623.039369208
ITSE,S6,Up Mass-,PSO,930863.1308844008,17.6886058438202,0.0,0.0,105.85804461623762,4032805.5159762227
ITSE,S6,Up Mass-,SKA,930863.1308844008,17.6886058438202,0.0,0.0,105.85805647064362,4032805.515804261
ITSE,S7,Up Res+,KMA,930863.1308844008,17.46063235410753,0.0,0.0,113.23920444050998,5012925.028835355
ITSE,S7,Up Res+,GA,930863.1308844008,17.485601648250427,0.0,0.0,57.857632555163995,5059716.956505341
ITSE,S7,Up Res+,HOA,930863.1308844008,17.46063235410753,0.0,0.0,102.28457873692953,5015170.565503404
ITSE,S7,Up Res+,PSO,930863.1308844008,17.46063235410753,0.0,0.0,113.24060441581878,5012925.000227339
ITSE,S7,Up Res+,SKA,930863.1308844008,17.46063235410753,0.0,0.0,113.2406152255151,5012925.000006676
ITSE,S8,Down Normal,KMA,930863.1308844008,19.183065245829223,0.0,0.0,136.5782905305342,2154165.9357425147
ITSE,S8,Down Normal,GA,930863.1308844008,19.182507300743897,0.0,0.0,136.81096771103023,2145533.8069158387
ITSE,S8,Down Normal,HOA,930863.1308844008,19.116713198431153,0.0,0.0,136.5782905305342,2152552.9273603223
ITSE,S8,Down Normal,PSO,930863.1308844008,19.183065245829223,0.0,0.0,136.5782905305342,2154165.961808761
ITSE,S8,Down Normal,SKA,930863.1308844008,19.183065245829223,0.0,0.0,136.57829053053422,2154165.9620098234
ITSE,S9,Down Mass+,KMA,930863.1308844008,19.099498246011834,0.0,0.0,162.77254179760175,2174109.427605148
ITSE,S9,Down Mass+,GA,930863.1308844008,19.09180372615507,0.0,0.0,162.11706742726906,2164638.0516529665
ITSE,S9,Down Mass+,HOA,930863.1308844008,19.06247959372962,0.0,0.0,162.77254179760175,2172441.8167303847
ITSE,S9,Down Mass+,PSO,930863.1308844008,19.099500542708988,0.0,0.0,162.77254179760175,2174109.454979984
ITSE,S9,Down Mass+,SKA,930863.1308844008,19.099500560442372,0.0,0.0,162.77254179760166,2174109.4551909273
ITSE,S10,Down Mass-,KMA,930863.1308844008,19.274164242499104,0.0,0.0,151.56529993367752,2132988.775611298
ITSE,S10,Down Mass-,GA,930863.1308844008,19.27367164624804,0.0,0.0,150.97236021484352,2125250.002880692
ITSE,S10,Down Mass-,HOA,930863.1308844008,19.18657131485913,0.0,0.0,151.56529993367752,2131428.664785707
ITSE,S10,Down Mass-,PSO,930863.1308844008,19.274164242499104,0.0,0.0,151.56529993367752,2132988.8013172555
ITSE,S10,Down Mass-,SKA,930863.1308844008,19.274164242499104,0.0,0.0,151.56529993367747,2132988.8015154433
ITSE,S11,Down Res+,KMA,930863.1308844008,19.137070587804313,0.0,0.0,161.9631825847624,2191009.974233286
